,True Gender,Classified Gender,Gender confidence,True Ethnicity,Classified Ethnicity,Ethnicity confidence,True Mood,Classified Mood,Mood confidence,True Age,Classified Age,Age confidence
67,Man,Man,1.0,Indian,latino hispanic,1.0,neutral,happy,1.0,30-39,45,1.0
68,Woman,Man,1.0,Indian,latino hispanic,1.0,neutral,sad,1.0,30-39,29,1.0
69,Woman,Man,1.0,Indian,indian,1.0,neutral,surprise,1.0,20-29,29,1.0
70,Man,Man,1.0,Indian,middle eastern,1.0,neutral,happy,1.0,40-49,32,1.0
71,Woman,Woman,1.0,Indian,white,1.0,neutral,neutral,1.0,30-39,23,1.0
72,Man,Man,1.0,Indian,indian,1.0,neutral,neutral,1.0,30-39,23,1.0
73,Woman,Man,1.0,Indian,indian,1.0,neutral,happy,1.0,20-29,29,1.0
74,Woman,Man,1.0,Indian,indian,1.0,neutral,fear,1.0,3-9,31,1.0
75,Woman,Man,1.0,Indian,white,1.0,neutral,happy,1.0,20-29,23,1.0
76,Woman,Man,1.0,Indian,latino hispanic,1.0,neutral,surprise,1.0,3-9,23,1.0
77,Man,Man,1.0,Indian,black,1.0,neutral,angry,1.0,40-49,33,1.0
78,Woman,Man,1.0,Indian,indian,1.0,neutral,angry,1.0,20-29,24,1.0
79,Woman,Man,1.0,Indian,middle eastern,1.0,neutral,happy,1.0,40-49,22,1.0
80,Woman,Man,1.0,Indian,indian,1.0,neutral,fear,1.0,30-39,23,1.0
81,Woman,Man,1.0,Indian,latino hispanic,1.0,neutral,sad,1.0,20-29,21,1.0
82,Woman,Man,1.0,Indian,latino hispanic,1.0,neutral,happy,1.0,20-29,23,1.0
83,Woman,Man,1.0,Indian,indian,1.0,neutral,fear,1.0,10-19,23,1.0
84,Man,Man,1.0,Indian,indian,1.0,neutral,surprise,1.0,30-39,33,1.0
85,Man,Man,1.0,Indian,indian,1.0,neutral,neutral,1.0,20-29,23,1.0
86,Woman,Woman,1.0,Indian,indian,1.0,neutral,happy,1.0,20-29,29,1.0
87,Man,Man,1.0,Indian,indian,1.0,neutral,neutral,1.0,20-29,23,1.0
88,Woman,Man,1.0,Indian,indian,1.0,neutral,happy,1.0,3-9,27,1.0
89,Woman,Man,1.0,Indian,middle eastern,1.0,neutral,neutral,1.0,30-39,22,1.0
90,Woman,Man,1.0,Indian,indian,1.0,neutral,fear,1.0,20-29,28,1.0
91,Man,Man,1.0,Indian,black,1.0,neutral,surprise,1.0,20-29,32,1.0
92,Man,Man,1.0,Indian,indian,1.0,neutral,surprise,1.0,50-59,32,1.0
93,Man,Man,1.0,Indian,middle eastern,1.0,neutral,sad,1.0,20-29,32,1.0
94,Man,Man,1.0,Indian,black,1.0,neutral,angry,1.0,30-39,23,1.0
95,Man,Man,1.0,Indian,indian,1.0,neutral,angry,1.0,20-29,23,1.0
96,Man,Man,1.0,Indian,middle eastern,1.0,neutral,fear,1.0,40-49,21,1.0
97,Man,Man,1.0,Indian,latino hispanic,1.0,neutral,neutral,1.0,3-9,23,1.0
98,Man,Man,1.0,Indian,indian,1.0,neutral,sad,1.0,3-9,23,1.0
99,Man,Man,1.0,Indian,asian,1.0,neutral,happy,1.0,20-29,28,1.0
