,True Gender,Classified Gender,Gender confidence,True Ethnicity,Classified Ethnicity,Ethnicity confidence,True Mood,Classified Mood,Mood confidence,True Age,Classified Age,Age confidence
37,Male,Man,1.0,Maori,white,1.0,neutral,fear,1.0,65,28,1.0
38,Female,Man,1.0,Maori,white,1.0,surprised,happy,1.0,45,19,1.0
39,Female,Woman,1.0,Maori,white,1.0,happy,happy,1.0,50,39,1.0
40,Male,Man,1.0,Maori,white,1.0,happy,neutral,1.0,60,23,1.0
41,Male,Man,1.0,Maori,asian,1.0,happy,neutral,1.0,75,52,1.0
42,Male,Man,1.0,European,white,1.0,happy,neutral,1.0,50,23,1.0
43,Female,Man,1.0,Maori,white,1.0,happy,happy,1.0,55,21,1.0
44,Female,Woman,1.0,Maori,white,1.0,neutral,happy,1.0,60,47,1.0
45,Male,Man,1.0,Maori,asian,1.0,happy,happy,1.0,55,52,1.0
46,Male,Man,1.0,Maori,white,1.0,neutral,fear,1.0,75,52,1.0
47,Female,Man,1.0,Maori,latino hispanic,1.0,happy,happy,1.0,45,54,1.0
48,Female,Woman,1.0,Maori,white,1.0,neutral,happy,1.0,60,31,1.0
49,Female,Woman,1.0,Maori,white,1.0,happy,happy,1.0,40,19,1.0
50,Female,Woman,1.0,Maori,white,1.0,surprised,happy,1.0,45,54,1.0
51,Female,Woman,1.0,Maori,white,1.0,happy,happy,1.0,40,31,1.0
52,Male,Man,1.0,Maori,middle eastern,1.0,happy,happy,1.0,65,53,1.0
53,Female,Woman,1.0,Maori,indian,1.0,happy,sad,1.0,75,32,1.0
54,Female,Man,1.0,Maori,latino hispanic,1.0,sad,happy,1.0,55,23,1.0
55,Male,Man,1.0,Maori,white,1.0,happy,neutral,1.0,45,46,1.0
56,Male,Man,1.0,Maori,indian,1.0,neutral,happy,1.0,70,65,1.0
57,Male,Man,1.0,Maori,white,1.0,angry,fear,1.0,50,29,1.0
58,Male,Man,1.0,Maori,white,1.0,neutral,angry,1.0,50,55,1.0
59,Female,Woman,1.0,Maori,white,1.0,happy,happy,1.0,45,54,1.0
60,Female,Woman,1.0,Maori,white,1.0,neutral,surprise,1.0,60,22,1.0
61,Male,Man,1.0,Maori,asian,1.0,neutral,happy,1.0,70,52,1.0
62,Male,Man,1.0,Maori,latino hispanic,1.0,neutral,happy,1.0,65,53,1.0
63,Female,Woman,1.0,Maori,white,1.0,happy,happy,1.0,50,23,1.0
64,Male,Man,1.0,Maori,middle eastern,1.0,neutral,fear,1.0,50,54,1.0
65,Female,Man,1.0,Maori,white,1.0,happy,sad,1.0,55,22,1.0
66,Female,Man,1.0,Maori,asian,1.0,neutral,happy,1.0,70,32,1.0
67,Female,Man,1.0,Maori,white,1.0,happy,happy,1.0,50,19,1.0
68,Male,Man,1.0,Maori,asian,1.0,happy,sad,1.0,45,22,1.0
69,Male,Man,1.0,Maori,black,1.0,happy,neutral,1.0,30,23,1.0
70,Female,Woman,1.0,Maori,white,1.0,happy,happy,1.0,30,29,1.0
71,Male,Man,1.0,Maori,white,1.0,neutral,happy,1.0,70,27,1.0
72,Female,Woman,1.0,Maori,white,1.0,happy,happy,1.0,45,24,1.0
73,Male,Man,1.0,Maori,white,1.0,happy,happy,1.0,50,55,1.0
74,Male,Man,1.0,Maori,latino hispanic,1.0,angry,angry,1.0,50,28,1.0
75,Male,Man,1.0,Maori,asian,1.0,happy,happy,1.0,60,22,1.0
76,Female,Man,1.0,Maori,white,1.0,happy,fear,1.0,75,21,1.0
77,Male,Man,1.0,Maori,middle eastern,1.0,happy,happy,1.0,55,53,1.0
78,Male,Man,1.0,Maori,white,1.0,neutral,fear,1.0,65,53,1.0
79,Female,Woman,1.0,Maori,latino hispanic,1.0,happy,happy,1.0,35,27,1.0
80,Male,Man,1.0,Maori,white,1.0,neutral,neutral,1.0,65,54,1.0
81,Female,Woman,1.0,Maori,asian,1.0,neutral,happy,1.0,50,29,1.0
82,Male,Man,1.0,Maori,white,1.0,neutral,fear,1.0,40,29,1.0
83,Female,Woman,1.0,Maori,white,1.0,happy,happy,1.0,40,29,1.0
84,Female,Woman,1.0,Maori,latino hispanic,1.0,happy,happy,1.0,55,29,1.0
85,Male,Man,1.0,Maori,asian,1.0,happy,happy,1.0,60,56,1.0
86,Female,Woman,1.0,Maori,asian,1.0,happy,sad,1.0,55,54,1.0
87,Female,Man,1.0,Maori,white,1.0,happy,neutral,1.0,45,24,1.0
88,Male,Man,1.0,Maori,white,1.0,neutral,neutral,1.0,55,65,1.0
89,Female,Man,1.0,Maori,asian,1.0,neutral,fear,1.0,75,66,1.0
90,Female,Woman,1.0,Maori,white,1.0,neutral,fear,1.0,45,52,1.0
91,Female,Man,1.0,Maori,white,1.0,happy,angry,1.0,45,70,1.0
92,Male,Man,1.0,Maori,indian,1.0,neutral,fear,1.0,50,29,1.0
93,Male,Man,1.0,Maori,white,1.0,neutral,neutral,1.0,45,56,1.0
94,Female,Woman,1.0,Maori,white,1.0,happy,happy,1.0,55,60,1.0
95,Female,Man,1.0,Maori,latino hispanic,1.0,happy,happy,1.0,50,32,1.0
96,Female,Man,1.0,Maori,black,1.0,happy,neutral,1.0,70,20,1.0
97,Male,Man,1.0,Maori,middle eastern,1.0,disgusted,happy,1.0,50,23,1.0
98,Female,Woman,1.0,Maori,white,1.0,happy,happy,1.0,65,32,1.0
99,Female,Woman,1.0,Maori,latino hispanic,1.0,happy,happy,1.0,70,56,1.0
100,Male,Man,1.0,Maori,white,1.0,happy,happy,1.0,75,23,1.0
101,Female,Woman,1.0,Maori,white,1.0,happy,happy,1.0,70,27,1.0
102,Male,Man,1.0,Maori,black,1.0,happy,happy,1.0,35,32,1.0
103,Male,Man,1.0,Maori,asian,1.0,happy,happy,1.0,35,23,1.0
104,Male,Man,1.0,Maori,asian,1.0,neutral,happy,1.0,40,53,1.0
105,Male,Man,1.0,Maori,white,1.0,surprised,neutral,1.0,60,65,1.0
106,Female,Woman,1.0,Maori,latino hispanic,1.0,happy,happy,1.0,45,32,1.0
107,Female,Man,1.0,Maori,white,1.0,happy,neutral,1.0,40,39,1.0
108,Male,Man,1.0,Maori,latino hispanic,1.0,neutral,angry,1.0,60,53,1.0
109,Female,Woman,1.0,Maori,white,1.0,happy,happy,1.0,25,23,1.0
110,Male,Man,1.0,Maori,white,1.0,neutral,happy,1.0,50,32,1.0
111,Male,Man,1.0,Maori,white,1.0,happy,happy,1.0,40,26,1.0
